entry_time,entry_time_vn,entry_price,sl,tp,risk,breakout_type,close_1h_at_entry,ema200_1h_at_entry,entry_dist_ema200_pct,h1_range_high_at_breakout,ema200_1h_at_breakout,h1_range_high_dist_ema200_pct,breakout_time,breakout_time_vn,breakout_level,breakout_swing_low,retest_time,retest_time_vn,retest_low,retest_depth_pct,bars_since_breakout,side,exit_time,exit_price,result,balance
2024-12-27 08:15:00,2024-12-27 15:15:00,96050.0,96580.0,94725.0,122.889820401813,range,95697.6,97551.28640341596,1.538971405469223,94620.0,97569.91641752064,3.0233872548351615,2024-12-27 07:15:00,2024-12-27 14:15:00,96050.0,96580.0,2024-12-27 08:15:00,2024-12-27 15:15:00,96168.0,22.264150943396228,12,SHORT,2024-12-27 09:05:00,96580.0,-122.889820401813,12166.092219779486
2024-12-29 19:40:00,2024-12-30 02:40:00,93534.6,93923.3,92562.85,121.66092219779486,range,93559.6,96328.76487794191,2.90065473327971,93333.0,96328.76487794191,3.109938014608452,2024-12-29 19:35:00,2024-12-30 02:35:00,93534.6,93923.3,2024-12-29 19:40:00,2024-12-30 02:40:00,93538.0,0.8747105737057382,1,SHORT,2024-12-30 01:30:00,93923.3,-121.66092219779486,12044.431297581692
2025-01-02 09:00:00,2025-01-02 16:00:00,96062.5,95612.5,97187.5,120.44431297581693,range,96722.0,95025.01685275437,1.0918000139408086,96204.2,95007.96174574687,1.2590926405246008,2025-01-02 08:50:00,2025-01-02 15:50:00,96062.5,95612.5,2025-01-02 09:00:00,2025-01-02 16:00:00,96012.0,11.222222222222221,2,LONG,2025-01-02 14:30:00,97187.5,301.11078243954233,12345.542080021234
2025-01-06 04:20:00,2025-01-06 11:20:00,99270.0,98707.9,100675.25000000001,123.45542080021234,range,99423.0,96697.84931323712,2.659987481656194,99465.4,96697.84931323712,2.862060228245446,2025-01-06 04:15:00,2025-01-06 11:15:00,99270.0,98707.9,2025-01-06 04:20:00,2025-01-06 11:20:00,99254.4,2.7753068848969327,1,LONG,2025-01-06 10:45:00,98707.9,-123.45542080021234,12222.086659221022
2025-01-09 13:25:00,2025-01-09 20:25:00,92964.1,93650.0,91249.35000000002,122.22086659221023,range,91926.8,96860.52851283735,4.0227206816458105,91800.0,96860.52851283735,5.224551827803269,2025-01-09 13:20:00,2025-01-09 20:20:00,92964.1,93650.0,2025-01-09 13:25:00,2025-01-09 20:25:00,92993.3,4.257180346988969,1,SHORT,2025-01-09 15:30:00,93650.0,-122.22086659221023,12099.865792628812
2025-01-14 09:15:00,2025-01-14 16:15:00,95797.9,94802.1,98287.39999999997,120.99865792628813,range,97130.0,94913.06650085002,0.9322567816751006,97353.9,94913.06650085002,2.5716517115460733,2025-01-14 09:10:00,2025-01-14 16:10:00,95797.9,94802.1,2025-01-14 09:15:00,2025-01-14 16:15:00,95754.2,4.388431411929865,1,LONG,2025-01-15 13:30:00,98287.39999999997,302.49664481572034,12402.362437444533
2025-01-15 18:55:00,2025-01-16 01:55:00,99288.0,98550.1,101132.74999999999,124.02362437444533,range,99385.1,95553.74493712967,3.908015395238893,99746.6,95553.74493712967,4.387954721846914,2025-01-15 18:50:00,2025-01-16 01:50:00,99288.0,98550.1,2025-01-15 18:55:00,2025-01-16 01:55:00,99251.1,5.000677598589846,1,LONG,2025-01-16 14:40:00,98550.1,-124.02362437444533,12278.338813070088
2025-01-17 05:55:00,2025-01-17 12:55:00,101237.5,100890.3,102105.5,122.78338813070089,range,101299.0,96824.07739716984,4.558187097127112,102133.7,96779.10330065899,5.5328025541899715,2025-01-17 04:50:00,2025-01-17 11:50:00,101237.5,100890.3,2025-01-17 05:55:00,2025-01-17 12:55:00,101222.7,4.262672811060781,13,LONG,2025-01-17 08:35:00,102105.5,306.9584703267522,12585.29728339684
2025-01-17 10:45:00,2025-01-17 17:45:00,102249.9,101676.3,103683.89999999997,125.8529728339684,range,102289.0,97066.60808549222,5.339933079708058,102568.8,97066.60808549222,5.668470365897285,2025-01-17 10:30:00,2025-01-17 17:30:00,102249.9,101676.3,2025-01-17 10:45:00,2025-01-17 17:45:00,102219.3,5.334728033471362,3,LONG,2025-01-17 15:05:00,103683.89999999997,314.632432084921,12899.929715481761
2025-01-17 17:40:00,2025-01-18 00:40:00,104198.9,102207.6,109177.14999999997,128.9992971548176,range,104079.4,97493.73692521408,6.877532122837124,104970.1,97427.54935662326,7.741702109090349,2025-01-17 16:10:00,2025-01-17 23:10:00,104198.9,102207.6,2025-01-17 17:40:00,2025-01-18 00:40:00,104156.0,2.154371516094734,18,LONG,2025-01-19 22:45:00,102207.6,-128.9992971548176,12770.930418326943
